,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
82837,gdb_82838,CC1C2OC3CN1C23C,2.71432,1.64822,1.58047,0.8448,78.17,-0.2073,0.071,0.2783,994.4841,0.171198,-403.087594,-403.079666,-403.078722,-403.119469,31.62,-1888.0158212231,-1900.816377314,-1912.0782813371,-1751.769184616
82843,gdb_82844,CC1C2CC3CC2C1O3,3.00215,1.68825,1.67332,1.4702,80.39,-0.235,0.084,0.3191,955.9294,0.186376,-387.100608,-387.093724,-387.09278,-387.131431,29.432,-2044.7863946931,-2059.1312504331,-2070.986150461,-1901.5022446511
82851,gdb_82852,OC1C2CC3OC1C2O3,3.12974,1.79369,1.76536,0.9743,64.87,-0.251,0.07,0.321,848.5227,0.139528,-458.958692,-458.952587,-458.951643,-458.988914,26.071,-1683.0663617511,-1694.344581008,-1703.827497016,-1565.6349550001
82868,gdb_82869,CC12CC3OC1C(O)C23,2.53562,1.94368,1.43431,0.6878,74.44,-0.2309,0.0647,0.2956,962.9942,0.160043,-422.979466,-422.972014,-422.97107,-423.010735,30.741,-1832.4354665661,-1844.646164197,-1855.315072215,-1702.546123638
82872,gdb_82873,CC1C2CC3CC2(O)C13,2.67259,1.70813,1.36598,1.26,81.64,-0.2397,0.0786,0.3183,1036.8629,0.184408,-387.062264,-387.05462,-387.053676,-387.093746,32.045,-2020.7251895971,-2034.5931384971,-2046.448038525,-1877.8545679861
82887,gdb_82888,CC1C2CC3CC2C13O,2.44572,1.89787,1.43531,1.2903,81.32,-0.2456,0.0753,0.3208,1007.0605,0.184114,-387.061448,-387.053614,-387.05267,-387.093155,32.286,-2020.213142253,-2033.9618644431,-2045.816764471,-1877.4837101671
82897,gdb_82898,CC1C2CC3CC2CC13,2.91333,1.76972,1.52939,0.0831,87.31,-0.2714,0.0932,0.3645,1000.7433,0.211762,-351.155965,-351.149185,-351.148241,-351.186649,30.051,-2215.856643255,-2232.0444929281,-2245.085384966,-2059.370331362
82901,gdb_82902,CC1C2OC3CC2OC13,3.15484,1.86151,1.59911,0.0669,73.06,-0.2329,0.0887,0.3215,909.2652,0.16267,-423.016722,-423.010249,-423.009305,-423.047235,27.622,-1855.8139418701,-1868.638970812,-1879.30787883,-1725.450202138
82910,gdb_82911,CC12CN1CC1C(O)C21,2.67712,1.51118,1.44846,2.2152,77.95,-0.2124,0.0654,0.2778,1038.1765,0.171907,-403.105492,-403.097412,-403.096468,-403.137521,32.569,-1899.2469773051,-1911.9521520281,-1923.214056051,-1763.096977084
82922,gdb_82923,CN1C2CC3CC3(C)C12,2.44382,1.77293,1.37657,1.2504,84.98,-0.2164,0.0853,0.3017,1054.9976,0.19537,-367.186071,-367.177685,-367.176741,-367.218292,33.788,-2086.144257865,-2100.435147831,-2112.883043864,-1936.999801272
82934,gdb_82935,CC1C2CC3CC3C12C,2.03613,1.74311,1.43096,0.1805,88.4,-0.2318,0.0813,0.313,1104.9323,0.20725,-351.137123,-351.128581,-351.127637,-351.169474,34.844,-2204.033118677,-2219.1152974921,-2232.15618953,-2048.592864287
82949,gdb_82950,OC1C2CC3OC3C12O,2.2285,1.8414,1.56064,1.8964,66.23,-0.2294,0.066,0.2954,939.8907,0.136186,-458.923273,-458.915831,-458.914887,-458.954691,30.231,-1660.8406204801,-1671.279860204,-1680.762776212,-1544.1597144931
82957,gdb_82958,CC1C2OC3CC3OC12,3.07382,1.51775,1.43324,1.3001,74.68,-0.2371,0.0782,0.3153,1009.3659,0.159619,-422.979627,-422.971924,-422.97098,-423.011702,30.491,-1832.5364955151,-1844.589688387,-1855.258596405,-1703.152924841
82968,gdb_82969,OC1C2CN3CC=C1C23,3.09079,1.78354,1.49824,1.8496,76.38,-0.2054,-0.0095,0.1958,922.2005,0.149565,-401.866564,-401.859539,-401.858595,-401.897701,28.574,-1749.660126867,-1761.250218097,-1771.32613011,-1626.32135039
82972,gdb_82973,CC1C2CC3OCC1C23,2.32077,2.00922,1.62893,1.5794,80.39,-0.2367,0.0756,0.3124,960.7102,0.185327,-387.074002,-387.066686,-387.065742,-387.105466,30.162,-2028.0908902391,-2042.1646620911,-2054.019562119,-1885.208973466
82982,gdb_82983,OC1C2CCC3OC1C23,2.52483,1.9653,1.64178,2.338,72.8,-0.2474,0.0626,0.31,913.4644,0.162612,-423.009271,-423.002477,-423.001533,-423.0404,28.212,-1851.1383723111,-1863.761970864,-1874.430878882,-1721.1611781231
82996,gdb_82997,OC1C2OC3OCC2C13,3.77813,1.60729,1.49148,2.0043,65.7,-0.2524,0.0788,0.3312,905.2936,0.139211,-458.944026,-458.937758,-458.936814,-458.974416,26.371,-1673.8633147571,-1685.039250047,-1694.522166055,-1556.537329518
83006,gdb_83007,OC1C2CC3CCC3C12,2.48891,1.74272,1.55212,1.4592,80.27,-0.2456,0.0673,0.3128,992.8483,0.18536,-387.068684,-387.061104,-387.06016,-387.100289,31.302,-2024.7537973771,-2038.661906853,-2050.516806881,-1881.960359373
83014,gdb_83015,CC1C2CN=C(C#N)N12,2.86149,1.45522,1.21588,5.3647,75.25,-0.26,-0.0637,0.1963,1050.484,0.125512,-396.923341,-396.915605,-396.914661,-396.95561,29.01,-1624.755715435,-1634.1219147691,-1643.011834772,-1515.138050752
83020,gdb_83021,CC1=CCC2C(O)C12C,1.98714,1.6973,1.42176,1.732,83.84,-0.2168,0.019,0.2358,1092.5022,0.18194,-387.096808,-387.087748,-387.086803,-387.129765,35.434,-2042.4018604931,-2055.3812566491,-2067.235529168,-1900.4568146571
83033,gdb_83034,OC1C2CC=C(C=O)C12,2.79068,1.3698,1.1635,2.2945,76.37,-0.2423,-0.0545,0.1879,1095.1013,0.136028,-421.832355,-421.824429,-421.823485,-421.864914,30.181,-1740.4646099811,-1750.600762858,-1760.083678866,-1624.7557154351
83042,gdb_83043,CC1C2C(O)C=CCN12,2.14503,1.81177,1.37691,1.7868,79.42,-0.2175,0.0107,0.2282,1039.5267,0.171996,-403.122456,-403.114024,-403.11308,-403.155049,33.077,-1909.8920399811,-1922.376331536,-1933.638235559,-1774.0959548361
83058,gdb_83059,CN1C2CC=CC12C#C,2.72916,1.47988,1.24506,1.7402,84.85,-0.2266,-0.0013,0.2253,1080.4416,0.14663,-364.754375,-364.746059,-364.745115,-364.786783,32.594,-1815.936372429,-1826.7169770491,-1836.792889062,-1693.651183563
83060,gdb_83061,NC1C2NC=NC12C#C,2.84312,1.51311,1.265,2.9821,76.69,-0.2156,0.0111,0.2267,1023.7566,0.124893,-396.876042,-396.867878,-396.866934,-396.908299,31.744,-1595.075167244,-1604.172792726,-1613.062712729,-1485.449972453
83077,gdb_83078,OC1C2OC=NC12C=O,2.87143,1.55365,1.31348,2.9923,62.65,-0.2472,-0.0348,0.2125,960.4718,0.099974,-473.812951,-473.805302,-473.804358,-473.845141,28.114,-1443.351021152,-1450.994080772,-1458.698008765,-1346.902887852
83087,gdb_83088,CC1C2OC=NC1C2C,2.44513,1.69055,1.45228,2.0257,77.77,-0.2418,0.0181,0.2598,1029.5316,0.17248,-403.149362,-403.14127,-403.140325,-403.181503,31.758,-1926.775797135,-1939.47344175,-1950.734718264,-1790.696077922
83091,gdb_83092,OC1C2OC=NC1C2O,2.54849,1.74951,1.51518,2.4356,63.17,-0.244,0.0008,0.2447,920.2074,0.125636,-474.99886,-474.991487,-474.990542,-475.030235,29.089,-1559.667971919,-1569.261329511,-1578.150622005,-1449.337457012
83101,gdb_83102,CN1C2CC=CC2C1=O,2.65981,1.67358,1.19589,3.6482,78.17,-0.2317,0.0095,0.2412,1059.1766,0.149137,-401.985824,-401.977847,-401.976902,-402.018582,29.805,-1824.496850207,-1835.4895528691,-1845.564837373,-1702.175265819
83115,gdb_83116,CC1C2CC=CCC12C,2.09761,1.60801,1.38157,0.1264,90.4,-0.2322,0.0355,0.2677,1133.7309,0.206813,-351.168624,-351.159647,-351.158702,-351.201579,35.53,-2223.8002796861,-2238.6094920861,-2251.649756615,-2068.739040732
83127,gdb_83128,CC12C(O)C1OCC2=O,2.11922,1.82243,1.41724,2.6575,68.25,-0.2463,-0.0245,0.2218,994.1779,0.134337,-458.9616,-458.952973,-458.952029,-458.994888,31.799,-1684.8911579231,-1694.586799482,-1704.06971549,-1569.383693766
83134,gdb_83135,CC1C2COC(=O)C12C,2.00454,1.80447,1.46324,4.2914,75.04,-0.2595,0.0134,0.2729,1035.4122,0.159544,-423.071362,-423.062795,-423.061851,-423.104182,32.392,-1890.1010336301,-1901.612058726,-1912.280966744,-1761.184957161
83149,gdb_83150,OC1C2COC(=O)C12O,2.17231,1.85055,1.46794,2.5582,60.91,-0.251,-0.0016,0.2494,940.1333,0.112276,-494.915657,-494.907763,-494.906819,-494.94785,29.815,-1519.7282790871,-1528.106151746,-1536.403075744,-1416.6486306751
83154,gdb_83155,CC1C2CC(=O)COC12,3.20408,1.2871,1.12568,2.4529,75.24,-0.2282,-0.0162,0.212,1139.3413,0.159437,-423.033282,-423.025042,-423.024098,-423.066306,31.574,-1866.2054909101,-1877.921711449,-1888.590619467,-1737.4174262771
83164,gdb_83165,CC1C2COC(=N)CC12,2.45467,1.50358,1.41034,3.2473,79.93,-0.2485,0.0308,0.2793,1062.4263,0.172749,-403.155433,-403.147,-403.146056,-403.188585,32.117,-1930.5854042741,-1943.06906832,-1954.330972343,-1795.14009666
83177,gdb_83178,CN1C2CCC(=O)CC12,2.47245,1.51512,1.31934,2.1169,78.14,-0.2241,-0.016,0.2081,1071.5215,0.172175,-403.148564,-403.140289,-403.139345,-403.181376,32.027,-1926.2750449531,-1938.8578554211,-1950.119759444,-1790.616384279
83188,gdb_83189,OC1C2CNC(=O)NC12,2.72976,1.52072,1.41166,3.8402,68.15,-0.2244,0.0463,0.2707,986.1664,0.139401,-455.168717,-455.161207,-455.160263,-455.200581,29.675,-1653.9838296371,-1664.37977124,-1673.862687248,-1537.222602498
83192,gdb_83193,OC1C2COC(=O)CC12,3.35197,1.28977,1.1332,5.0126,67.54,-0.2479,0.0217,0.2696,1086.1244,0.13751,-458.982587,-458.97499,-458.974046,-459.014712,29.561,-1698.0606893061,-1708.402665135,-1717.8855811431,-1581.823432182
83200,gdb_83201,OC1C2OCC(=O)OC12,3.05832,1.47998,1.29493,4.0208,61.07,-0.2491,-0.0051,0.244,983.0792,0.112718,-494.890984,-494.883552,-494.882608,-494.923228,28.107,-1504.2457495301,-1512.913531347,-1521.210455345,-1401.1981040771
83214,gdb_83215,CN1C2COC(C#N)C12,2.72409,1.55517,1.29465,4.2134,72.21,-0.2417,0.0107,0.2524,1016.3087,0.136737,-417.98201,-417.97402,-417.973076,-418.014557,29.797,-1673.499359537,-1683.594724329,-1693.077640337,-1557.422744717
83224,gdb_83225,CC1(C)OCC2C(O)C12,2.48151,1.63895,1.39835,2.1896,77.06,-0.2357,0.0688,0.3045,1048.2682,0.182517,-424.223755,-424.21516,-424.214216,-424.256115,34.649,-1985.3863927531,-1998.6569530851,-2010.511853113,-1842.8107003721
83235,gdb_83236,CN1C2CCC(C)(O)C12,2.38984,1.58255,1.3452,2.4189,81.44,-0.2145,0.0686,0.2831,1095.6727,0.193806,-404.329368,-404.320067,-404.319123,-404.362871,36.104,-2039.388562275,-2053.1046539971,-2065.55255003,-1890.792548548
83241,gdb_83242,CC1C2COC(C)=NC12,2.70119,1.44366,1.32252,1.6925,80.3,-0.225,0.0285,0.2535,1098.1234,0.171623,-403.160418,-403.151629,-403.150685,-403.193863,32.877,-1933.7135366391,-1945.9738074811,-1957.235711504,-1798.4520891621
83253,gdb_83254,CC1C2COC(C)C12O,1.81744,1.74579,1.51486,1.3554,77.95,-0.246,0.0716,0.3176,1076.063,0.181919,-424.22059,-424.211451,-424.210507,-424.253598,35.459,-1983.4003267681,-1996.329522204,-2008.1844222321,-1841.231260219
83261,gdb_83262,CC1COC2C(O)C12O,1.8733,1.79374,1.52603,0.9306,69.87,-0.2301,0.0654,0.2955,1022.5736,0.158118,-460.13594,-460.126873,-460.125929,-460.169323,34.269,-1793.9484570691,-1805.145100156,-1815.814008174,-1665.129644495
83278,gdb_83279,CC1C2COC(C)OC12,2.70403,1.41339,1.28694,1.5369,78.4,-0.2445,0.0814,0.3259,1122.9463,0.182909,-424.222232,-424.213544,-424.2126,-424.255221,33.563,-1984.4306965461,-1997.6428985411,-2009.4977985691,-1842.249707326
83289,gdb_83290,OC1C2CCC(O)CC12,2.64876,1.3119,1.18642,0.8879,77.48,-0.2469,0.0682,0.3151,1152.5804,0.184239,-424.220724,-424.212162,-424.211218,-424.253459,34.008,-1983.4844129741,-1996.7756811031,-2008.630581131,-1841.1440364681
83297,gdb_83298,CN1C2CCC(C2)C1=O,2.44703,1.81806,1.43565,3.7223,78.38,-0.227,0.0366,0.2636,1005.1043,0.174436,-403.205168,-403.197452,-403.196508,-403.237206,30.363,-1961.7945643891,-1974.7281523881,-1985.990056411,-1825.6502117491
83305,gdb_83306,OC1C2OCC(O2)C1=O,2.51159,1.91972,1.52644,1.3753,59.6,-0.2537,-0.0422,0.2115,887.4466,0.11333,-494.903417,-494.896305,-494.895361,-494.935097,27.189,-1512.0475689271,-1520.916153624,-1529.213077622,-1408.646008398
83319,gdb_83320,CC12COC(C1O)C2=O,2.27058,1.76107,1.45352,1.6391,67.62,-0.231,-0.0352,0.1958,974.9127,0.135342,-458.946014,-458.937909,-458.936965,-458.978329,31.032,-1675.1108026491,-1685.1340039061,-1694.616919914,-1558.992772235
83324,gdb_83325,CC1C2OCC1(C)C2=O,2.2054,1.72249,1.44072,2.8392,75.15,-0.2235,-0.0176,0.206,1027.3502,0.158508,-423.020945,-423.012346,-423.011402,-423.053765,32.632,-1858.4639123771,-1869.954857185,-1880.623765203,-1729.547835908
83332,gdb_83333,CC12OCC(C1O)C2O,2.12256,1.6909,1.54474,3.2422,71.07,-0.2297,0.0652,0.2949,1006.2387,0.158423,-460.134975,-460.126292,-460.125348,-460.167498,33.814,-1793.3429108841,-1804.7805174271,-1815.449425445,-1663.9844405701
83343,gdb_83344,OC1C2CCC1(O)C2O,2.11868,1.64998,1.53386,2.6881,69.76,-0.2355,0.0573,0.2928,1006.1857,0.159534,-460.144626,-460.136129,-460.135185,-460.176904,33.804,-1799.3990002431,-1810.95332346,-1821.622231478,-1669.886790224
83356,gdb_83357,CC12CCC(CO1)C2O,2.16442,1.92363,1.5539,1.4276,76.51,-0.2404,0.0729,0.3133,996.7382,0.18448,-424.246519,-424.238494,-424.23755,-424.278324,32.848,-1999.671007629,-2013.2992480911,-2025.154148119,-1856.7470477531
83361,gdb_83362,CC1C2CCC1(C)CC2,2.01138,1.82975,1.47663,0.0829,90.61,-0.2791,0.0738,0.3529,1103.4808,0.231981,-352.393836,-352.385226,-352.384282,-352.426097,35.671,-2364.7802166801,-2381.5968303711,-2395.823714419,-2195.9125247081
83375,gdb_83376,CC1C2CCC11OCC21,2.59417,1.71919,1.51748,1.6481,81.29,-0.2349,0.0766,0.3116,1004.587,0.184995,-387.026507,-387.019181,-387.018237,-387.057662,30.929,-1998.287350284,-2012.3548470461,-2024.209747074,-1855.2115332301
83381,gdb_83382,CC1N2CCC11OCC21,2.69657,1.72989,1.55243,0.6705,77.63,-0.2172,0.0585,0.2757,975.2903,0.173213,-403.048144,-403.040926,-403.039982,-403.079217,30.282,-1863.260591173,-1876.5066786541,-1887.768582677,-1726.5106923481
83395,gdb_83396,CC1C2CCC12C(C)=O,2.53878,1.32503,1.11044,2.7636,84.36,-0.2347,-0.0097,0.225,1219.7941,0.181279,-387.093354,-387.08395,-387.083006,-387.127661,35.18,-2040.234444407,-2052.9979774671,-2064.852877495,-1899.1365357211
83403,gdb_83404,CC1N2CCC12C(C)=O,2.67758,1.33244,1.11841,3.8487,80.6,-0.2308,-0.0232,0.2076,1193.4022,0.169576,-403.126904,-403.11771,-403.116766,-403.160973,34.33,-1912.6832000131,-1924.68932971,-1935.951233733,-1777.813318152
83414,gdb_83415,[NH3+]C1C2OCC12C([O-])=O,2.91668,1.36354,1.11592,13.4843,65.99,-0.1761,-0.0265,0.1496,1084.2963,0.12479,-474.932105,-474.924089,-474.923144,-474.965105,29.751,-1517.7786086241,-1526.9684779291,-1535.8577704231,-1408.4677958421
83424,gdb_83425,CC1C2OCC12C1CO1,2.90562,1.29096,1.10667,1.9227,75.44,-0.2345,0.0659,0.3004,1163.2802,0.158553,-422.95538,-422.947005,-422.94606,-422.98858,31.579,-1817.3212847921,-1828.952791616,-1839.621072125,-1688.643661743
83437,gdb_83438,OC1C2OCC12C1CC1,3.2219,1.19841,1.07134,1.849,75.07,-0.2333,0.0581,0.2913,1189.0919,0.159095,-422.955162,-422.946932,-422.945988,-422.988291,31.864,-1817.18448783,-1828.906983459,-1839.575891477,-1688.462311642
83443,gdb_83444,CC1C2COC12CC#C,2.86891,1.20792,1.03664,1.2259,80.59,-0.234,0.0483,0.2823,1228.7154,0.157191,-385.81619,-385.807111,-385.806166,-385.850195,34.095,-1866.6541598451,-1877.8445278421,-1888.512808351,-1738.737705213
83459,gdb_83460,CC1C2CCC12OC=O,3.01121,1.11075,0.95105,4.001,76.86,-0.2617,0.0054,0.2671,1286.9212,0.158022,-423.019696,-423.010822,-423.009878,-423.053656,32.697,-1857.6801536361,-1868.9985334691,-1879.6674414871,-1729.4794374271
83462,gdb_83463,CC1C2OCC12NC=O,2.81119,1.33667,1.08083,2.962,73.14,-0.2332,0.0188,0.252,1145.8476,0.146877,-439.062112,-439.053389,-439.052444,-439.095946,32.024,-1735.6924040361,-1746.216357475,-1756.291641979,-1613.7899956601
83478,gdb_83479,CC1C2CC(=O)C1CO2,2.1142,1.91629,1.47764,2.4176,73.89,-0.2392,-0.0168,0.2224,990.644,0.160801,-423.057935,-423.050323,-423.049379,-423.089792,30.263,-1881.6754702871,-1893.7857664781,-1904.454674496,-1752.155102651
83489,gdb_83490,CC1C2COC1C(=O)O2,2.98885,1.52836,1.47265,4.5273,67.13,-0.2512,0.0026,0.2537,968.6481,0.137738,-459.001173,-458.993967,-458.993023,-459.032662,28.209,-1709.7235715801,-1720.310903428,-1729.793819436,-1593.0872187321
83498,gdb_83499,OC1C2CNC1C(=N)O2,3.01548,1.53511,1.49176,2.1516,68.63,-0.2432,0.0192,0.2624,950.4396,0.139863,-455.150332,-455.143422,-455.142478,-455.181408,28.184,-1642.4470766721,-1653.219523675,-1662.702439683,-1525.191372441
83509,gdb_83510,CC1=CC2OCC1C2O,2.21368,1.82636,1.41629,2.2207,75.55,-0.2313,0.003,0.2343,1014.1775,0.160687,-423.025644,-423.017931,-423.016987,-423.057394,31.092,-1861.4125771681,-1873.45949495,-1884.128402968,-1731.825066069
83510,gdb_83511,CC1C2CCC1C(C)=C2,2.77726,1.3972,1.3432,0.2589,90.15,-0.2209,0.0332,0.2541,1140.1761,0.208099,-351.181132,-351.172764,-351.17182,-351.2134,34.065,-2231.649162258,-2246.8405276391,-2259.881419677,-2076.156824621
83522,gdb_83523,OC1C2CCC1C1CC21,2.70828,1.69781,1.54427,1.7057,79.7,-0.2496,0.0669,0.3165,981.957,0.186583,-387.087976,-387.080797,-387.079853,-387.118934,30.762,-2036.8597010051,-2051.0194415901,-2062.874341618,-1893.660264678
83534,gdb_83535,CC1C2CCC1C2(C)C,2.55129,1.54166,1.23999,0.0979,92.05,-0.2734,0.0832,0.3566,1174.9405,0.230208,-352.354334,-352.345154,-352.34421,-352.387303,37.272,-2339.992356162,-2356.4512897231,-2370.678173771,-2171.568940562
83546,gdb_83547,OC1C2CCC1C21CN1,3.08305,1.47273,1.29105,1.2296,78.01,-0.2397,0.0604,0.3001,1051.4013,0.173242,-403.105223,-403.097485,-403.096541,-403.136965,31.482,-1899.0781773841,-1911.997960185,-1923.259864208,-1762.74808208
83551,gdb_83552,CC1C2CCC1C2C#C,2.86203,1.33595,1.1417,0.7964,88.8,-0.2474,0.0552,0.3026,1174.3076,0.183742,-349.917798,-349.909528,-349.908584,-349.950106,33.538,-2066.747327166,-2080.2230829411,-2092.077982969,-1924.6510516611
83560,gdb_83561,OC1C2COC1C2C#N,3.18548,1.36457,1.18283,3.5706,68.61,-0.2675,0.0212,0.2887,1043.0688,0.126084,-437.870424,-437.863205,-437.862261,-437.902028,28.356,-1615.7490787581,-1625.439700245,-1634.329620248,-1505.818287084
83576,gdb_83577,OC1C2OCC1N=CO2,2.73409,1.79129,1.70642,1.9889,63.02,-0.2541,0.0113,0.2654,869.9513,0.127,-475.031071,-475.024195,-475.023251,-475.06208,27.158,-1579.8806643181,-1589.7858938831,-1598.675813886,-1469.320481117
83588,gdb_83589,OC1C2CCC1OCO2,2.56745,1.70386,1.61125,1.525,69.07,-0.2463,0.0635,0.3098,944.6968,0.162322,-460.167311,-460.160049,-460.159105,-460.198488,29.773,-1813.6340419081,-1825.9633387401,-1836.6322467581,-1683.4309444801
83596,gdb_83597,CC1C2CCC2(C)C1=O,2.14963,1.62273,1.23222,2.7177,82.77,-0.2297,-0.0151,0.2146,1144.1671,0.181309,-387.096697,-387.087389,-387.086445,-387.130974,34.785,-2042.3322069941,-2055.1559809181,-2067.010880946,-1901.2154730381
83601,gdb_83602,CC1N2CCC2(C)C1=O,2.16589,1.6531,1.30416,1.9691,79.43,-0.2293,-0.0263,0.203,1101.9386,0.169526,-403.133916,-403.124803,-403.123859,-403.167797,33.98,-1917.083293121,-1929.140251047,-1940.40215507,-1782.095439568
83610,gdb_83611,CC1C2CCC22COC12,2.43253,1.83463,1.23769,1.7729,82.15,-0.2366,0.0684,0.3051,1077.5277,0.183493,-387.041834,-387.033861,-387.032917,-387.07412,31.697,-2007.9051807271,-2021.5666791661,-2033.421579194,-1865.5390763521
83622,gdb_83623,CC1C2CNC2=CC1=O,3.0221,1.50595,1.13053,4.7859,80.26,-0.223,-0.0179,0.2051,1080.618,0.149546,-401.953635,-401.945906,-401.944961,-401.985805,30.182,-1804.2979630061,-1815.4462879,-1825.521572404,-1681.6074033261
83636,gdb_83637,CC1C2CCC2C1(C)O,2.08004,1.65117,1.30173,1.2888,84.47,-0.2441,0.0709,0.315,1136.3936,0.204954,-388.26916,-388.25983,-388.258886,-388.302594,37.027,-2150.2116717471,-2164.7987459611,-2177.839637999,-1995.1949859321
83641,gdb_83642,CN1C2COC2C1(C)C,2.31185,1.64776,1.27849,2.0253,82.39,-0.2053,0.0779,0.2833,1117.8057,0.192661,-404.303581,-404.294296,-404.293351,-404.336836,35.846,-2023.206987692,-2036.933119558,-2049.380388082,-1874.455351733
83650,gdb_83651,CN1C2COC2C11CC1,2.55519,1.70343,1.20258,2.0703,79.81,-0.2048,0.0728,0.2775,1086.6412,0.170514,-403.074154,-403.065909,-403.064964,-403.106877,32.064,-1879.582100263,-1892.183736001,-1903.445012515,-1743.867591288
83660,gdb_83661,OC1C2OCC2C11CO1,2.58384,1.70167,1.30707,2.3241,67.22,-0.2485,0.0406,0.2891,991.6797,0.135943,-458.894146,-458.886648,-458.885704,-458.926197,29.129,-1642.5631658371,-1652.967265057,-1662.450181065,-1526.279473047
83678,gdb_83679,OC1C2CCN2C1C#N,2.51696,1.6512,1.3455,3.1138,71.71,-0.232,0.0007,0.2327,997.0876,0.136825,-417.96476,-417.956694,-417.95575,-417.998115,30.05,-1662.6748292871,-1672.7225033951,-1682.205419403,-1547.1052417391
83687,gdb_83688,CC1C2COC2C1C=O,2.35713,1.64272,1.30144,3.2241,74.57,-0.2424,-0.0163,0.2261,1051.4142,0.158454,-422.996482,-422.987966,-422.987022,-423.03058,31.353,-1843.1131597101,-1854.656187765,-1865.3250957831,-1714.999039743
83691,gdb_83692,CN1C2COC2C1C=O,2.26035,1.58731,1.06371,4.09,73.16,-0.2289,-0.0299,0.199,1144.0322,0.146137,-439.031931,-439.023397,-439.022453,-439.065773,30.911,-1716.753554907,-1727.396107547,-1737.47201956,-1594.856166603
83705,gdb_83706,CC1C2CCC2OC1=N,2.57148,1.66024,1.20735,2.9889,79.39,-0.253,0.0311,0.2841,1087.6437,0.172706,-403.168709,-403.160614,-403.15967,-403.201427,31.493,-1938.916213758,-1951.6119758461,-1962.873879869,-1803.1985672381
83713,gdb_83714,CN1C2CCC2NC1=O,2.83852,1.59226,1.15271,3.813,76.04,-0.2226,0.0684,0.291,1088.4028,0.161501,-419.250002,-419.241715,-419.24077,-419.283167,31.111,-1841.324131551,-1853.0102316581,-1863.678512167,-1712.264355521
83724,gdb_83725,OC1C2CCN2CC1=O,2.4865,1.78701,1.30458,1.2137,70.55,-0.2222,-0.0357,0.1865,1000.9119,0.148838,-439.077253,-439.069506,-439.068562,-439.109876,29.888,-1745.193517805,-1756.3299200281,-1766.405832041,-1622.5311960301
83734,gdb_83735,CC1C2COC3(CC3)C12,2.71465,1.51707,1.34414,1.3875,82.49,-0.2236,0.0804,0.304,1080.8789,0.183314,-387.070486,-387.062287,-387.061343,-387.1029,32.785,-2025.8845685951,-2039.4042500001,-2051.259150028,-1883.598785372
83740,gdb_83741,CC1C2OCC3(CO3)C12,2.61377,1.63681,1.35373,2.0502,74.66,-0.2402,0.0731,0.3133,1027.1243,0.159045,-422.98789,-422.979734,-422.97879,-423.020706,31.173,-1837.7216023821,-1849.490533677,-1860.159441695,-1708.803015877
83754,gdb_83755,CC12C3COC(C13)C2O,2.51492,1.85018,1.45712,2.1945,73.87,-0.2482,0.0874,0.3356,975.5191,0.160577,-423.003641,-422.996001,-422.995057,-423.035289,30.723,-1847.6054966411,-1859.69822258,-1870.367130598,-1717.953979624
83764,gdb_83765,OC1C2CCC3C2C13O,2.43724,1.82605,1.4578,1.1095,73.9,-0.2438,0.0716,0.3154,975.3498,0.160465,-423.004882,-422.997063,-422.996119,-423.036586,31.642,-1848.3842353101,-1860.3646371381,-1871.033545156,-1718.767858797
83778,gdb_83779,OC1C2CCC3CN2C13,2.68291,1.85734,1.66564,1.2215,76.73,-0.2099,0.0597,0.2696,924.9938,0.174682,-403.104731,-403.097736,-403.096792,-403.135593,29.468,-1898.7694429561,-1912.1554649441,-1923.417368967,-1761.8871397321
83782,gdb_83783,OC1C2OCC3CC2C13,2.80304,1.85995,1.65513,1.5484,73.05,-0.2442,0.0727,0.3169,904.8492,0.162455,-422.990553,-422.983771,-422.982827,-423.021275,28.591,-1839.392658849,-1852.02378751,-1862.692695528,-1709.160068498
83794,gdb_83795,CN1C2CCC3NC3C12,2.59871,1.67859,1.39898,2.2764,81.64,-0.2034,0.0687,0.2722,1033.767,0.185626,-383.221316,-383.213495,-383.21255,-383.253201,31.7,-1959.656641226,-1973.4128935241,-1985.267166043,-1816.678715576
83802,gdb_83803,OC1C2OCC3CC3C12,2.61111,1.73641,1.48573,2.2192,73.8,-0.2263,0.073,0.2993,970.1255,0.161487,-422.987625,-422.980303,-422.979359,-423.019007,30.191,-1837.555312497,-1849.847586298,-1860.516494316,-1707.736878086
83812,gdb_83813,CC12N=COCC1C2O,2.3798,1.72725,1.50345,2.5024,72.22,-0.2319,0.0094,0.2413,982.561,0.148133,-439.077286,-439.069154,-439.06821,-439.109438,31.598,-1745.2142256021,-1756.10903686,-1766.184948873,-1622.256347088
83825,gdb_83826,OC1C2CC=CCOC12,2.74416,1.55717,1.22828,2.1276,76.19,-0.2319,0.0206,0.2525,1063.6539,0.16078,-423.00032,-422.992507,-422.991563,-423.032484,31.066,-1845.5215392521,-1857.5057061341,-1868.174614152,-1716.193816879
83830,gdb_83831,CC1C2CCCC(=O)N12,2.25742,1.81298,1.23683,3.6505,79.06,-0.2359,0.0117,0.2476,1078.0061,0.172584,-403.172151,-403.163875,-403.162931,-403.204949,31.952,-1941.0760997361,-1953.6582826951,-1964.920186718,-1805.4086539361
